EPC,Phase,RSSI,Doppler
300833B2DDD9014000000004,3.36862181,-57.5,26.8125
300833B2DDD9014000000000,0.969475858,-62,-9.75
300833B2DDD9014000000000,4.313553976,-54.5,13.8125
300833B2DDD9014000000000,5.982525073,-56.5,-4.875
300833B2DDD9014000000000,1.748738098,-59,-21.125
300833B2DDD9014000000000,1.01242732,-42.5,10.5625
300833B2DDD9014000000000,0.049087385,-47,-4.875
300833B2DDD9014000000000,1.349903093,-62,-10.5625
300833B2DDD901400000000F,3.571107274,-52,9.75
300833B2DDD9014000000019,2.601631416,-45.5,1.625
300833B2DDD9014000000006,3.405437349,-39.5,4.875
300833B2DDD901400000000C,1.705786636,-42,0
300833B2DDD9014000000000,1.846912869,-42.5,0
300833B2DDD9014000000000,0.177941771,-47,0
300833B2DDD9014000000011,1.9082721,-58,-21.125
300833B2DDD9014000000000,0.91425255,-55.5,-17.0625
300833B2DDD9014000000000,5.970253226,-34.5,0
300833B2DDD9014000000002,2.429825568,-32.5,-3.25
300833B2DDD9014000000031,0.938796242,-55,-6.5
300833B2DDD901400000002D,5.878214379,-37.5,-1.625
300833B2DDD901400000001A,1.380582709,-35.5,1.625
300833B2DDD9014000000000,2.82252465,-53,6.5
300833B2DDD9014000000029,1.938951716,-33.5,-1.625
300833B2DDD9014000000000,0.036815539,-47,-3.25
300833B2DDD9014000000001,1.945087639,-38,8.9375
300833B2DDD9014000000018,2.534136262,-32.5,-3.25
300833B2DDD901400000001D,3.196815962,-33,1.625
300833B2DDD9014000000003,1.79168956,-53,-12.1875
300833B2DDD9014000000000,1.730330329,-59.5,-1.625
300833B2DDD9014000000001,2.086213872,-55,4.875
300833B2DDD9014000000012,2.577087724,-50.5,4.875
300833B2DDD9014000000000,4.325825822,-54.5,4.875
300833B2DDD9014000000000,0.134990309,-33,-1.625
300833B2DDD9014000000000,2.509592569,-29,-4.875
300833B2DDD901400000000C,1.705786636,-42,0
300833B2DDD901400000002E,3.380893656,-55,18.6875
300833B2DDD901400000000D,1.69351479,-39.5,-4.875
300833B2DDD9014000000000,4.503767593,-36,4.875
300833B2DDD9014000000016,2.417553722,-46,-6.5
300833B2DDD9014000000000,3.276582963,-37,4.875
300833B2DDD9014000000006,3.38702958,-39.5,6.5
300833B2DDD9014000000000,3.466796581,-45,12.1875
300833B2DDD9014000000000,0.159534002,-47,4.875
300833B2DDD9014000000008,3.331806271,-36.5,6.5
300833B2DDD9014000000015,3.025010114,-58,4.875
300833B2DDD9014000000000,1.853048792,-42.5,-1.625
300833B2DDD9014000000013,2.37460226,-41.5,1.625
300833B2DDD9014000000000,5.982525073,-57,-6.5
300833B2DDD9014000000000,1.34376717,-51,-4.875
300833B2DDD9014000000000,1.030835089,-42.5,0
300833B2DDD9014000000000,2.718213956,-41,8.125
300833B2DDD9014000000000,0.208621387,-48,8.125
300833B2DDD9014000000019,2.613903263,-45.5,0
300833B2DDD9014000000000,1.822369176,-42.5,0
300833B2DDD9014000000011,1.859184715,-57.5,-10.5625
300833B2DDD9014000000000,3.528155812,-46.5,15.4375
300833B2DDD9014000000000,1.306951631,-61,22.75
300833B2DDD901400000000B,0.092038847,-56,-6.5
300833B2DDD901400000000F,3.564971351,-52,21.9375
300833B2DDD9014000000000,0.859029241,-55.5,3.25
300833B2DDD9014000000004,3.362485887,-57,30.0625
300833B2DDD9014000000000,0.944932165,-61.5,0
300833B2DDD9014000000000,3.614058736,-55,21.125
300833B2DDD9014000000000,1.184233168,-55,10.5625
300833B2DDD9014000000000,0.122718463,-33,0
300833B2DDD9014000000029,1.945087639,-34,-3.25
300833B2DDD9014000000000,2.515728492,-29,-6.5
300833B2DDD9014000000000,1.024699166,-42.5,7.3125
300833B2DDD901400000002E,3.344078118,-55,28.4375
300833B2DDD9014000000018,2.515728492,-32.5,1.625
300833B2DDD9014000000013,2.362330413,-41.5,4.875
